pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
METALS | HINDCOPPER.NS/NMDC.NS,89,42.7,-0.42,,50,42,0.13,,21,28.6,-1.39,,6,33.3,0.18
METALS | HINDCOPPER.NS/SAIL.NS,94,60.6,0.89,,42,57.1,0.6,,14,42.9,0.47,,2,50,-1.89
METALS | HINDCOPPER.NS/TATASTEEL.NS,89,55.1,0.37,,54,44.4,-0.38,,24,41.7,-0.24,,7,28.6,-1.67
METALS | HINDCOPPER.NS/VEDL.NS,90,53.3,0.43,,49,44.9,-0.08,,24,33.3,-1,,9,33.3,-0.31
METALS | HINDCOPPER.NS/WELCORP.NS,109,45.9,0.08,,51,43.1,0.13,,21,23.8,-1.83,,4,0,-4
METALS | HINDZINC.NS/JINDALSTEL.NS,100,55,0.46,,47,53.2,0.66,,15,33.3,-1.18,,6,33.3,-1.05
METALS | HINDZINC.NS/JSL.NS,96,47.9,0.21,,52,46.2,0.13,,22,27.3,-1.32,,6,50,-0.26
METALS | HINDZINC.NS/JSWSTEEL.NS,91,63.7,0.66,,50,54,0.24,,21,52.4,0.09,,6,66.7,1.63
METALS | HINDZINC.NS/LLOYDSME.NS,26,30.8,-1.43,,13,23.1,-1.33,,5,0,-4,,,,
METALS | HINDZINC.NS/NATIONALUM.NS,82,62.2,1.02,,49,65.3,1.06,,19,57.9,0.66,,6,33.3,-0.63
METALS | HINDZINC.NS/NMDC.NS,91,67,1.07,,48,68.8,1.95,,18,61.1,1.33,,4,50,0.21
METALS | HINDZINC.NS/SAIL.NS,92,57.6,0.71,,48,58.3,0.75,,22,77.3,2.26,,2,0,-4
METALS | HINDZINC.NS/TATASTEEL.NS,98,63.3,0.94,,45,62.2,1.13,,21,61.9,0.94,,7,57.1,0.9
METALS | HINDZINC.NS/VEDL.NS,87,67.8,1.23,,44,61.4,0.84,,21,57.1,0.71,,11,63.6,1.34
METALS | HINDZINC.NS/WELCORP.NS,97,47.4,0.27,,50,46,0.25,,18,38.9,-0.13,,6,66.7,3.17
METALS | JINDALSTEL.NS/LLOYDSME.NS,28,42.9,-0.43,,7,28.6,-1.65,,1,100,5.15,,,,
METALS | JINDALSTEL.NS/NATIONALUM.NS,93,47.3,-0.07,,47,44.7,-0.42,,16,56.2,0.75,,1,0,-4
METALS | JINDALSTEL.NS/NMDC.NS,94,53.2,0.04,,44,45.5,-0.19,,10,40,-0.43,,3,0,-4
METALS | JINDALSTEL.NS/SAIL.NS,91,56,0.09,,48,56.2,0.12,,20,55,-0.09,,3,33.3,-0.92
METALS | JINDALSTEL.NS/TATASTEEL.NS,82,57.3,0.16,,48,56.2,0.05,,19,57.9,-0.26,,7,42.9,-0.6
METALS | JINDALSTEL.NS/VEDL.NS,95,50.5,0.17,,51,39.2,-0.56,,19,42.1,-0.2,,6,50,1.42
METALS | JINDALSTEL.NS/WELCORP.NS,95,51.6,0.41,,49,44.9,-0.23,,18,44.4,-0.17,,4,25,-1.56
METALS | JSL.NS/JINDALSTEL.NS,99,55.6,0.55,,52,59.6,1.11,,11,45.5,-0.03,,1,0,-4
METALS | JSL.NS/LLOYDSME.NS,26,57.7,0.75,,11,63.6,1.97,,3,66.7,2.81,,1,100,4.44
METALS | JSL.NS/NATIONALUM.NS,93,48.4,0.42,,49,44.9,0.15,,17,41.2,0.08,,7,28.6,-0.57
METALS | JSL.NS/NMDC.NS,99,49.5,0.2,,47,38.3,-0.59,,16,43.8,-0.47,,6,50,0.29
METALS | JSL.NS/SAIL.NS,98,45.9,-0.12,,45,28.9,-1.67,,14,28.6,-1.53,,6,33.3,-1.52
METALS | JSL.NS/TATASTEEL.NS,93,51.6,0.36,,44,52.3,0.35,,16,37.5,-1.22,,4,25,-1.5
