pair,n_z2.0,winrate_z2.0_%,avgpnl_z2.0_%,,n_z2.5,winrate_z2.5_%,avgpnl_z2.5_%,,n_z3.0,winrate_z3.0_%,avgpnl_z3.0_%,,n_z3.5,winrate_z3.5_%,avgpnl_z3.5_%
NBFC | PNBHOUSING.NS/SUNDARMFIN.NS,87,56.3,0.91,,49,55.1,1.08,,20,65,2.62,,6,33.3,-0.4
NBFC | POONAWALLA.NS/ABCAPITAL.NS,92,57.6,0.82,,45,53.3,0.27,,17,70.6,1.67,,4,25,-1
NBFC | POONAWALLA.NS/SUNDARMFIN.NS,99,48.5,0.23,,48,52.1,0.4,,20,60,1.12,,4,100,5.36
NBFC | SHRIRAMFIN.NS/ABCAPITAL.NS,82,58.5,0.7,,39,46.2,0.09,,11,45.5,-0.17,,4,100,4.41
NBFC | SHRIRAMFIN.NS/CANFINHOME.NS,94,57.4,0.56,,47,44.7,-0.25,,23,43.5,-0.22,,7,42.9,-0.69
NBFC | SHRIRAMFIN.NS/IIFL.NS,104,58.7,1.14,,47,48.9,0.3,,20,50,0.59,,5,20,-2.17
NBFC | SHRIRAMFIN.NS/LICHSGFIN.NS,94,55.3,0.38,,45,51.1,-0.03,,17,41.2,-0.63,,3,33.3,-1.07
NBFC | SHRIRAMFIN.NS/LTF.NS,88,56.8,0.27,,42,52.4,0.07,,18,61.1,1.36,,8,75,1.87
NBFC | SHRIRAMFIN.NS/M&MFIN.NS,87,67.8,0.86,,43,62.8,1.07,,17,64.7,1.83,,5,60,1.73
NBFC | SHRIRAMFIN.NS/MANAPPURAM.NS,99,60.6,0.86,,50,64,1.1,,15,66.7,1.79,,4,50,0.23
NBFC | SHRIRAMFIN.NS/MUTHOOTFIN.NS,90,58.9,0.64,,51,60.8,0.64,,20,60,0.85,,5,60,0.37
NBFC | SHRIRAMFIN.NS/PNBHOUSING.NS,97,50.5,0.54,,50,48,0.29,,21,23.8,-1.34,,6,16.7,-2.87
NBFC | SHRIRAMFIN.NS/POONAWALLA.NS,103,40.8,-0.58,,47,48.9,0.78,,20,55,1.36,,4,75,3.6
NBFC | SHRIRAMFIN.NS/SUNDARMFIN.NS,90,70,1.63,,41,68.3,1.54,,8,62.5,0.72,,2,50,-1.45
NBFC | SUNDARMFIN.NS/ABCAPITAL.NS,80,62.5,1.1,,40,70,1.97,,16,56.2,1.45,,6,83.3,2.84
PHARMA | ABBOTINDIA.NS/AJANTPHARM.NS,87,60.9,0.6,,42,61.9,0.77,,12,75,2.54,,3,100,6.61
PHARMA | ABBOTINDIA.NS/ALKEM.NS,83,68.7,0.72,,46,69.6,0.85,,17,64.7,0.32,,7,57.1,-0.54
PHARMA | ABBOTINDIA.NS/AUROPHARMA.NS,98,55.1,0.04,,42,47.6,-0.31,,19,31.6,-1.68,,9,33.3,-1.94
PHARMA | ABBOTINDIA.NS/BIOCON.NS,82,64.6,0.8,,44,50,0.03,,14,50,0.21,,5,60,0.48
PHARMA | ABBOTINDIA.NS/CIPLA.NS,91,67,0.57,,50,58,0,,22,63.6,0.38,,10,50,-0.61
PHARMA | ABBOTINDIA.NS/DIVISLAB.NS,81,58,0.54,,44,50,0.19,,20,40,-0.11,,8,37.5,-1.17
PHARMA | ABBOTINDIA.NS/DRREDDY.NS,92,66.3,0.77,,45,57.8,0.43,,18,55.6,0.19,,5,20,-2.91
PHARMA | ABBOTINDIA.NS/GLAND.NS,51,41.2,-0.38,,28,53.6,0.25,,11,45.5,-0.49,,3,66.7,2.03
PHARMA | ABBOTINDIA.NS/GLENMARK.NS,93,52.7,-0.3,,50,54,-0.22,,17,58.8,0.07,,7,42.9,-1.02
PHARMA | ABBOTINDIA.NS/IPCALAB.NS,85,54.1,0.16,,43,53.5,0.15,,16,50,0.64,,5,80,2.08
PHARMA | ABBOTINDIA.NS/JBCHEPHARM.NS,85,57.6,0.43,,38,50,-0.2,,20,55,0.3,,7,57.1,0.41
PHARMA | ABBOTINDIA.NS/LAURUSLABS.NS,82,45.1,-0.71,,42,59.5,0.63,,15,66.7,0.61,,2,0,-4
PHARMA | ABBOTINDIA.NS/LUPIN.NS,86,59.3,0.2,,36,38.9,-1.09,,17,29.4,-1.86,,9,33.3,-1.61
PHARMA | ABBOTINDIA.NS/MANKIND.NS,23,56.5,-0.2,,15,73.3,0.69,,9,88.9,2.16,,2,100,2.91
PHARMA | ABBOTINDIA.NS/PPLPHARMA.NS,39,59,0.51,,20,65,0.93,,4,0,-4,,1,0,-4
PHARMA | ABBOTINDIA.NS/SUNPHARMA.NS,81,59.3,0.36,,38,60.5,0.75,,15,53.3,0.27,,5,40,-0.46
PHARMA | ABBOTINDIA.NS/TORNTPHARM.NS,82,72,1.11,,44,70.5,1.15,,12,75,1.65,,4,75,1.52
PHARMA | ABBOTINDIA.NS/WOCKPHARMA.NS,107,46.7,0.3,,56,46.4,0.11,,20,35,-0.38,,9,33.3,-0.61
PHARMA | ABBOTINDIA.NS/ZYDUSLIFE.NS,90,61.1,0.32,,48,60.4,0.37,,19,52.6,0.39,,5,40,-0.64
PHARMA | AJANTPHARM.NS/ALKEM.NS,88,76.1,1.63,,42,76.2,2.03,,17,70.6,1.79,,2,0,-4
PHARMA | AJANTPHARM.NS/AUROPHARMA.NS,86,73.3,1.56,,50,72,1.97,,10,70,2.28,,4,50,0.89
PHARMA | AJANTPHARM.NS/BIOCON.NS,89,58.4,0.56,,47,61.7,0.73,,20,60,0.74,,4,75,1.71
PHARMA | AJANTPHARM.NS/CIPLA.NS,83,65.1,0.59,,46,63,0.89,,19,57.9,0.25,,4,25,-2.11
PHARMA | AJANTPHARM.NS/DIVISLAB.NS,83,62.7,0.76,,49,63.3,1.21,,22,59.1,1.16,,5,20,-2.14
PHARMA | AJANTPHARM.NS/DRREDDY.NS,93,69.9,1.11,,40,62.5,0.77,,20,70,1.34,,8,50,-0.28
PHARMA | AJANTPHARM.NS/GLAND.NS,58,60.3,0.79,,28,64.3,1.22,,9,55.6,1.07,,6,33.3,-0.84
PHARMA | AJANTPHARM.NS/GLENMARK.NS,92,62,1.13,,37,59.5,0.88,,15,66.7,1.47,,9,66.7,1.99
PHARMA | AJANTPHARM.NS/IPCALAB.NS,82,72,1.48,,41,70.7,1.87,,17,64.7,1.76,,4,50,1.67
PHARMA | AJANTPHARM.NS/JBCHEPHARM.NS,77,81.8,2.27,,33,84.8,3.09,,11,72.7,2.3,,2,100,6.27
PHARMA | AJANTPHARM.NS/LAURUSLABS.NS,86,53.5,0.16,,46,50,0.2,,15,53.3,0.79,,6,50,0.76
PHARMA | AJANTPHARM.NS/LUPIN.NS,89,66.3,1.06,,42,66.7,0.74,,20,70,1.01,,7,71.4,1.07
PHARMA | AJANTPHARM.NS/MANKIND.NS,24,70.8,0.96,,11,54.5,0.85,,6,66.7,2.17,,2,0,-4
PHARMA | AJANTPHARM.NS/PPLPHARMA.NS,32,59.4,1,,16,56.2,1.14,,8,75,2.72,,2,0,-4
PHARMA | AJANTPHARM.NS/SUNPHARMA.NS,81,66.7,0.74,,45,66.7,0.73,,16,62.5,0.43,,6,50,-0.73
PHARMA | AJANTPHARM.NS/TORNTPHARM.NS,76,81.6,2.13,,37,86.5,3.02,,15,86.7,3.2,,4,100,4.06
PHARMA | AJANTPHARM.NS/WOCKPHARMA.NS,91,51.6,0.54,,51,47.1,0.52,,22,50,0.82,,7,42.9,0.54
PHARMA | AJANTPHARM.NS/ZYDUSLIFE.NS,89,56.2,0.2,,50,56,0.44,,18,44.4,-0.2,,4,25,-2.36
PHARMA | ALKEM.NS/AUROPHARMA.NS,87,56.3,0.23,,42,45.2,-0.21,,19,52.6,0.24,,6,50,0.29
PHARMA | ALKEM.NS/BIOCON.NS,92,59.8,0.34,,49,63.3,0.5,,20,50,-0.32,,8,62.5,1.14
PHARMA | ALKEM.NS/CIPLA.NS,83,63.9,0.41,,45,51.1,-0.09,,17,47.1,0,,3,33.3,-0.87
PHARMA | ALKEM.NS/DIVISLAB.NS,81,60.5,0.45,,46,52.2,0.26,,16,56.2,0.49,,4,50,0.2
PHARMA | ALKEM.NS/DRREDDY.NS,89,68.5,0.7,,51,66.7,0.7,,22,63.6,0.34,,4,50,-1.6
PHARMA | ALKEM.NS/GLAND.NS,54,53.7,0.07,,31,61.3,0.41,,11,63.6,1.06,,5,40,-0.72
PHARMA | ALKEM.NS/GLENMARK.NS,89,52.8,0.04,,41,56.1,0.63,,18,50,-0.12,,7,42.9,-0.6
PHARMA | ALKEM.NS/IPCALAB.NS,88,69.3,1.09,,42,57.1,0.13,,11,45.5,-0.88,,4,50,-0.88
PHARMA | ALKEM.NS/JBCHEPHARM.NS,83,63.9,0.93,,42,64.3,1.13,,11,45.5,-0.41,,4,50,0.83
PHARMA | ALKEM.NS/LAURUSLABS.NS,84,53.6,0.31,,43,53.5,0.43,,17,64.7,1.78,,3,66.7,1.11
PHARMA | ALKEM.NS/LUPIN.NS,82,59.8,0.16,,41,51.2,-0.69,,16,43.8,-0.79,,6,0,-4
PHARMA | ALKEM.NS/MANKIND.NS,26,61.5,0.48,,13,61.5,0.51,,4,50,-0.61,,,,
PHARMA | ALKEM.NS/PPLPHARMA.NS,31,64.5,1.19,,14,50,0.39,,7,42.9,0.49,,3,66.7,1.06
PHARMA | ALKEM.NS/SUNPHARMA.NS,88,63.6,0.81,,41,58.5,0.36,,16,37.5,-0.97,,6,50,0.55
PHARMA | ALKEM.NS/TORNTPHARM.NS,77,75.3,1.13,,36,61.1,0.62,,19,57.9,0.18,,8,62.5,0.39
PHARMA | ALKEM.NS/WOCKPHARMA.NS,101,53.5,0.77,,58,51.7,0.75,,22,50,0.63,,8,62.5,2.05
PHARMA | ALKEM.NS/ZYDUSLIFE.NS,81,53.1,-0.17,,41,51.2,0.23,,19,47.4,-0.17,,4,50,-0.59
PHARMA | AUROPHARMA.NS/BIOCON.NS,100,53,0.31,,52,50,-0.01,,25,40,-0.31,,6,66.7,3.84
PHARMA | AUROPHARMA.NS/CIPLA.NS,86,57,-0.12,,41,51.2,-0.35,,17,41.2,-1.08,,5,60,-0.15
PHARMA | AUROPHARMA.NS/DIVISLAB.NS,91,60.4,0.58,,42,57.1,0.49,,15,60,0.47,,11,54.5,0.51
PHARMA | AUROPHARMA.NS/DRREDDY.NS,85,58.8,0.18,,52,63.5,0.62,,24,58.3,0.25,,4,50,-0.74
PHARMA | AUROPHARMA.NS/GLAND.NS,56,51.8,-0.33,,30,50,-0.4,,13,46.2,-0.2,,4,25,-1.71
PHARMA | AUROPHARMA.NS/GLENMARK.NS,79,70.9,1.06,,44,77.3,1.7,,15,80,2.57,,6,50,0.63
PHARMA | AUROPHARMA.NS/IPCALAB.NS,96,63.5,0.75,,42,59.5,0.86,,15,60,0.3,,4,50,-0.62
PHARMA | AUROPHARMA.NS/JBCHEPHARM.NS,80,67.5,0.99,,44,70.5,1.53,,14,57.1,0.2,,3,0,-4
PHARMA | AUROPHARMA.NS/LAURUSLABS.NS,91,53.8,0.02,,42,42.9,-0.58,,18,44.4,-0.08,,2,50,-0.09
PHARMA | AUROPHARMA.NS/LUPIN.NS,82,61,0.4,,47,53.2,-0.33,,19,52.6,-0.17,,6,33.3,-0.58
PHARMA | AUROPHARMA.NS/MANKIND.NS,27,66.7,1.02,,16,56.2,0.68,,3,33.3,-0.84,,,,
PHARMA | AUROPHARMA.NS/PPLPHARMA.NS,31,64.5,0.66,,20,60,0.44,,7,42.9,0.14,,3,0,-4
PHARMA | AUROPHARMA.NS/SUNPHARMA.NS,85,54.1,-0.27,,47,51.1,-0.15,,19,47.4,-0.03,,9,44.4,-0.16
PHARMA | AUROPHARMA.NS/TORNTPHARM.NS,87,59.8,0.3,,46,58.7,0.67,,15,73.3,2.13,,4,50,0.46
PHARMA | AUROPHARMA.NS/WOCKPHARMA.NS,95,46.3,-0.21,,49,49,0.38,,22,50,0.74,,12,41.7,0.56
PHARMA | AUROPHARMA.NS/ZYDUSLIFE.NS,85,56.5,-0.13,,47,53.2,-0.42,,19,47.4,-0.75,,12,41.7,-0.85
PHARMA | BIOCON.NS/CIPLA.NS,87,67.8,1.2,,46,65.2,1.29,,19,68.4,1.11,,10,60,0.63
PHARMA | BIOCON.NS/DIVISLAB.NS,83,63.9,0.79,,44,70.5,1.18,,21,66.7,1.05,,10,70,1.5
PHARMA | BIOCON.NS/DRREDDY.NS,87,64.4,0.79,,42,57.1,0.44,,18,66.7,0.84,,9,33.3,-0.98
PHARMA | BIOCON.NS/GLAND.NS,49,53.1,0.33,,29,79.3,2.53,,13,69.2,2.64,,2,50,2
PHARMA | BIOCON.NS/GLENMARK.NS,81,59.3,0.46,,42,61.9,0.91,,21,57.1,0.8,,9,88.9,3.37
PHARMA | BIOCON.NS/IPCALAB.NS,88,55.7,0.29,,47,57.4,0.56,,15,73.3,1.88,,5,80,2.27
PHARMA | BIOCON.NS/JBCHEPHARM.NS,88,65.9,0.91,,46,63,1.14,,18,77.8,2.31,,8,62.5,0.94
PHARMA | BIOCON.NS/LAURUSLABS.NS,83,49.4,-0.26,,43,58.1,0.33,,19,52.6,0.28,,8,37.5,-0.95
PHARMA | BIOCON.NS/LUPIN.NS,84,57.1,0.3,,48,56.2,0.26,,15,46.7,-0.73,,8,50,-0.48
PHARMA | BIOCON.NS/MANKIND.NS,29,65.5,1.14,,7,42.9,-0.5,,3,66.7,0.99,,,,
PHARMA | BIOCON.NS/PPLPHARMA.NS,31,58.1,0.72,,16,37.5,-0.72,,4,25,-1.15,,3,33.3,-0.2
PHARMA | BIOCON.NS/SUNPHARMA.NS,83,57.8,0,,46,60.9,0.16,,22,63.6,0.72,,9,77.8,2.55
PHARMA | BIOCON.NS/TORNTPHARM.NS,88,72.7,1.19,,49,71.4,1.24,,17,64.7,0.73,,5,60,1.05
PHARMA | BIOCON.NS/WOCKPHARMA.NS,107,53.3,0.63,,46,43.5,-0.32,,19,52.6,1.07,,8,37.5,-0.7
PHARMA | BIOCON.NS/ZYDUSLIFE.NS,82,58.5,0.3,,42,50,-0.35,,23,43.5,-0.49,,7,57.1,0.35
PHARMA | CIPLA.NS/DIVISLAB.NS,84,57.1,-0.02,,50,52,-0.32,,19,47.4,-0.37,,13,46.2,-0.07
PHARMA | CIPLA.NS/DRREDDY.NS,78,65.4,0.59,,45,60,0.25,,23,56.5,0.29,,7,42.9,-1.28
PHARMA | CIPLA.NS/GLAND.NS,55,56.4,0.48,,29,58.6,0.81,,12,75,1.56,,5,60,0.84
PHARMA | CIPLA.NS/GLENMARK.NS,83,59,0.43,,50,66,1.11,,22,63.6,1.32,,11,54.5,0.8
PHARMA | CIPLA.NS/IPCALAB.NS,88,58,0.25,,44,38.6,-0.56,,20,50,-0.09,,1,0,-4
PHARMA | CIPLA.NS/JBCHEPHARM.NS,85,63.5,0.88,,48,62.5,0.81,,17,58.8,0.6,,5,40,-1.4
PHARMA | CIPLA.NS/LAURUSLABS.NS,87,55.2,0.09,,44,50,-0.37,,20,50,-0.59,,6,66.7,1.53
PHARMA | CIPLA.NS/LUPIN.NS,77,68.8,0.61,,44,72.7,0.94,,23,73.9,1.15,,6,50,-1.31
PHARMA | CIPLA.NS/MANKIND.NS,24,70.8,0.77,,13,69.2,1.74,,6,83.3,2.86,,2,100,2.7
PHARMA | CIPLA.NS/PPLPHARMA.NS,31,61.3,0.53,,15,53.3,0.24,,8,50,0.33,,1,0,-4
PHARMA | CIPLA.NS/SUNPHARMA.NS,81,66.7,0.77,,48,77.1,1.11,,22,81.8,1.75,,9,88.9,2.24
PHARMA | CIPLA.NS/TORNTPHARM.NS,88,71.6,0.99,,45,62.2,0.61,,19,47.4,-0.85,,11,45.5,-1.24
PHARMA | CIPLA.NS/WOCKPHARMA.NS,93,49.5,0,,57,47.4,0.01,,24,29.2,-1.71,,9,22.2,-2.31
PHARMA | CIPLA.NS/ZYDUSLIFE.NS,85,62.4,0.18,,48,58.3,0.21,,18,61.1,0.35,,7,71.4,1.37
PHARMA | DIVISLAB.NS/DRREDDY.NS,85,63.5,0.1,,52,59.6,0,,23,60.9,0.49,,7,28.6,-1.89
PHARMA | DIVISLAB.NS/GLAND.NS,52,57.7,0.25,,26,53.8,0.15,,9,55.6,0.88,,3,33.3,-0.36
PHARMA | DIVISLAB.NS/GLENMARK.NS,85,58.8,0.53,,48,52.1,0.48,,22,50,1.11,,6,33.3,-1.13
PHARMA | DIVISLAB.NS/IPCALAB.NS,81,66.7,0.94,,43,65.1,1.1,,17,47.1,-0.29,,7,57.1,0.25
PHARMA | DIVISLAB.NS/JBCHEPHARM.NS,87,66.7,0.79,,54,66.7,0.94,,28,53.6,-0.03,,8,75,1.23
PHARMA | DIVISLAB.NS/LAURUSLABS.NS,83,59,0.68,,45,55.6,0.8,,19,52.6,0.56,,2,100,3.83
PHARMA | DIVISLAB.NS/LUPIN.NS,88,50,-0.29,,49,44.9,-0.61,,20,35,-1.51,,7,57.1,0.67
PHARMA | DIVISLAB.NS/MANKIND.NS,21,66.7,0.29,,9,66.7,0.96,,5,40,-0.49,,,,
PHARMA | DIVISLAB.NS/PPLPHARMA.NS,28,60.7,0.54,,14,64.3,1.08,,6,66.7,0.91,,2,50,0.69
PHARMA | DIVISLAB.NS/SUNPHARMA.NS,82,58.5,0.18,,40,52.5,0.2,,22,50,-0.13,,10,40,-0.79
PHARMA | DIVISLAB.NS/TORNTPHARM.NS,92,66.3,0.6,,54,63,0.46,,27,66.7,0.78,,4,0,-3.02
PHARMA | DIVISLAB.NS/WOCKPHARMA.NS,99,43.4,0.01,,50,40,-0.33,,26,30.8,-1.32,,9,22.2,-2.33
PHARMA | DIVISLAB.NS/ZYDUSLIFE.NS,83,57.8,-0.15,,49,51,-0.25,,21,38.1,-0.96,,9,44.4,-0.73
PHARMA | DRREDDY.NS/GLAND.NS,60,60,0.17,,28,53.6,0.24,,7,42.9,-1.05,,2,100,3.49
PHARMA | DRREDDY.NS/GLENMARK.NS,81,64.2,0.65,,47,61.7,0.49,,20,50,0.07,,7,57.1,0.57
PHARMA | DRREDDY.NS/IPCALAB.NS,85,62.4,0.46,,38,65.8,0.52,,14,71.4,0.7,,4,75,1.62
PHARMA | DRREDDY.NS/JBCHEPHARM.NS,83,72.3,1.27,,42,66.7,1.19,,15,60,0.8,,3,100,4.48
PHARMA | DRREDDY.NS/LAURUSLABS.NS,82,47.6,-0.61,,47,51.1,-0.45,,20,40,-1.59,,6,16.7,-2.41
PHARMA | DRREDDY.NS/LUPIN.NS,78,73.1,0.88,,45,68.9,0.96,,23,56.5,0.57,,8,37.5,-1.28
PHARMA | DRREDDY.NS/MANKIND.NS,25,72,1.09,,12,91.7,2.4,,4,75,1.65,,,,
PHARMA | DRREDDY.NS/PPLPHARMA.NS,30,43.3,-0.5,,20,50,0.05,,7,28.6,-2.03,,1,0,-4
PHARMA | DRREDDY.NS/SUNPHARMA.NS,81,66.7,0.44,,48,64.6,0.64,,17,52.9,-0.58,,7,71.4,1.18
PHARMA | DRREDDY.NS/TORNTPHARM.NS,82,70.7,0.86,,38,65.8,0.75,,21,66.7,0.8,,11,63.6,-0.09
PHARMA | DRREDDY.NS/WOCKPHARMA.NS,102,47.1,0.19,,52,38.5,-0.85,,26,53.8,0.37,,13,38.5,-0.94
PHARMA | DRREDDY.NS/ZYDUSLIFE.NS,87,70.1,0.72,,46,73.9,1.38,,23,73.9,1.52,,11,72.7,1.5
PHARMA | GLAND.NS/GLENMARK.NS,52,55.8,0.48,,24,41.7,-0.62,,12,41.7,-0.57,,6,50,0.55
PHARMA | GLAND.NS/IPCALAB.NS,55,47.3,-0.21,,29,44.8,-0.54,,12,33.3,-1.16,,4,0,-3.32
PHARMA | GLAND.NS/JBCHEPHARM.NS,49,53.1,0.59,,25,52,0.86,,15,60,2.3,,5,60,1.22
PHARMA | GLAND.NS/LAURUSLABS.NS,55,60,0.6,,24,66.7,1.61,,9,66.7,1.97,,1,0,-4
PHARMA | GLAND.NS/LUPIN.NS,52,59.6,0.47,,27,59.3,0.8,,13,61.5,0.94,,4,50,0.63
PHARMA | GLAND.NS/MANKIND.NS,30,60,0.4,,14,57.1,0.07,,6,50,-0.55,,3,33.3,-0.6
PHARMA | GLAND.NS/PPLPHARMA.NS,34,58.8,0.74,,16,50,0.08,,9,33.3,-1.76,,2,50,-1.91
PHARMA | GLAND.NS/SUNPHARMA.NS,52,50,-0.3,,27,59.3,0.25,,12,66.7,1.52,,3,33.3,-2.04
PHARMA | GLAND.NS/TORNTPHARM.NS,48,56.2,0.4,,28,57.1,-0.03,,11,36.4,-1.2,,5,40,-1.12
PHARMA | GLAND.NS/WOCKPHARMA.NS,58,53.4,1.04,,32,46.9,0.67,,16,50,0.48,,7,71.4,2.58
PHARMA | GLAND.NS/ZYDUSLIFE.NS,60,60,0.4,,23,43.5,-0.81,,9,33.3,-1.29,,3,33.3,-1.57
PHARMA | GLENMARK.NS/IPCALAB.NS,84,52.4,-0.08,,43,46.5,-0.39,,22,54.5,0.25,,8,37.5,-0.74
PHARMA | GLENMARK.NS/JBCHEPHARM.NS,79,58.2,0.67,,46,60.9,1.37,,21,52.4,0.61,,6,16.7,-2
PHARMA | GLENMARK.NS/LAURUSLABS.NS,87,51.7,0.03,,51,54.9,0.43,,20,50,0.37,,6,33.3,-0.51
PHARMA | GLENMARK.NS/LUPIN.NS,84,69,0.9,,41,70.7,1.37,,18,72.2,1.76,,7,71.4,1.73
PHARMA | GLENMARK.NS/MANKIND.NS,30,70,1.09,,14,50,-0.11,,5,40,-1.47,,,,
PHARMA | GLENMARK.NS/PPLPHARMA.NS,34,52.9,0,,22,50,0.09,,8,37.5,-1.35,,1,0,-4
PHARMA | GLENMARK.NS/SUNPHARMA.NS,85,60,0.43,,49,63.3,0.88,,22,68.2,1.83,,6,83.3,4.08
PHARMA | GLENMARK.NS/TORNTPHARM.NS,85,58.8,0.39,,49,67.3,1.09,,17,58.8,0.97,,6,50,0.89
PHARMA | GLENMARK.NS/WOCKPHARMA.NS,99,56.6,1.08,,50,46,0.64,,19,42.1,0.6,,7,42.9,0.66
PHARMA | GLENMARK.NS/ZYDUSLIFE.NS,88,61.4,0.49,,52,65.4,0.88,,22,59.1,0.73,,10,60,1.63
PHARMA | IPCALAB.NS/JBCHEPHARM.NS,93,75.3,1.6,,50,74,1.75,,19,63.2,1.08,,6,66.7,0.84
PHARMA | IPCALAB.NS/LAURUSLABS.NS,82,51.2,0.11,,48,60.4,0.98,,19,63.2,0.87,,5,40,0.07
PHARMA | IPCALAB.NS/LUPIN.NS,85,67.1,0.63,,42,57.1,0.16,,19,63.2,0.5,,9,44.4,-0.59
PHARMA | IPCALAB.NS/MANKIND.NS,26,88.5,2.28,,12,83.3,2,,6,83.3,2.46,,1,100,1.19
PHARMA | IPCALAB.NS/PPLPHARMA.NS,30,53.3,0.26,,18,38.9,-0.81,,8,50,0.36,,3,33.3,-1.6
PHARMA | IPCALAB.NS/SUNPHARMA.NS,80,56.2,0.3,,37,48.6,-0.07,,23,52.2,0.14,,7,71.4,2.28
PHARMA | IPCALAB.NS/TORNTPHARM.NS,85,71.8,1.19,,47,72.3,1.47,,18,66.7,0.87,,9,77.8,1.29
PHARMA | IPCALAB.NS/WOCKPHARMA.NS,99,51.5,0.62,,56,44.6,0.04,,22,45.5,0.36,,8,62.5,2.66
PHARMA | IPCALAB.NS/ZYDUSLIFE.NS,92,54.3,-0.1,,52,51.9,-0.39,,20,45,-0.62,,10,50,-0.5
PHARMA | JBCHEPHARM.NS/LAURUSLABS.NS,85,58.8,0.71,,34,67.6,1.49,,13,61.5,1.03,,4,100,4.16
PHARMA | JBCHEPHARM.NS/LUPIN.NS,85,65.9,0.9,,49,61.2,0.73,,20,55,0.09,,7,42.9,-1
PHARMA | JBCHEPHARM.NS/MANKIND.NS,22,68.2,1.35,,12,66.7,0.6,,5,60,0.31,,2,50,-1.96
PHARMA | JBCHEPHARM.NS/PPLPHARMA.NS,31,51.6,-0.42,,14,64.3,1.29,,6,50,0.73,,2,50,2
PHARMA | JBCHEPHARM.NS/SUNPHARMA.NS,86,73.3,1.45,,38,60.5,1.08,,19,68.4,1.87,,4,50,-0.2
PHARMA | JBCHEPHARM.NS/TORNTPHARM.NS,88,72.7,1.21,,55,67.3,0.74,,24,62.5,0.77,,5,60,0.58
PHARMA | JBCHEPHARM.NS/WOCKPHARMA.NS,98,42.9,-0.28,,53,41.5,-0.63,,26,46.2,-0.14,,8,62.5,2.4
PHARMA | JBCHEPHARM.NS/ZYDUSLIFE.NS,83,59,0.33,,44,52.3,-0.1,,17,41.2,-0.93,,7,57.1,0.59
PHARMA | LAURUSLABS.NS/LUPIN.NS,87,42.5,-0.75,,45,48.9,-0.28,,18,44.4,-0.94,,7,71.4,0.68
PHARMA | LAURUSLABS.NS/MANKIND.NS,25,60,0.79,,12,66.7,1.57,,3,66.7,2.63,,,,
PHARMA | LAURUSLABS.NS/PPLPHARMA.NS,30,46.7,-0.46,,11,54.5,0.73,,5,40,-0.3,,4,25,-1.58
PHARMA | LAURUSLABS.NS/SUNPHARMA.NS,94,53.2,0.11,,44,45.5,-0.29,,12,58.3,0.65,,5,80,2.36
PHARMA | LAURUSLABS.NS/TORNTPHARM.NS,84,50,-0.24,,40,50,-0.01,,14,42.9,-0.29,,6,33.3,-0.98
PHARMA | LAURUSLABS.NS/WOCKPHARMA.NS,93,45.2,-0.04,,42,45.2,-0.42,,17,29.4,-1.66,,3,66.7,0.07
PHARMA | LAURUSLABS.NS/ZYDUSLIFE.NS,85,52.9,-0.02,,44,47.7,0,,14,35.7,-0.63,,3,33.3,-1.42
PHARMA | LUPIN.NS/MANKIND.NS,24,75,0.9,,14,71.4,0.7,,7,71.4,1.14,,,,
PHARMA | LUPIN.NS/PPLPHARMA.NS,35,54.3,0.27,,18,55.6,0.1,,6,33.3,-1.44,,1,0,-4
PHARMA | LUPIN.NS/SUNPHARMA.NS,82,74.4,1.04,,50,70,1.31,,25,56,0.39,,9,44.4,0.43
PHARMA | LUPIN.NS/TORNTPHARM.NS,82,70.7,0.78,,45,68.9,0.93,,27,63,0.41,,7,57.1,0.33
PHARMA | LUPIN.NS/WOCKPHARMA.NS,97,45.4,-0.01,,52,46.2,0.19,,26,50,0.38,,7,42.9,0.27
PHARMA | LUPIN.NS/ZYDUSLIFE.NS,87,58.6,0.16,,46,47.8,-0.58,,22,59.1,0.68,,11,45.5,-0.15
PHARMA | MANKIND.NS/PPLPHARMA.NS,27,81.5,2.35,,11,63.6,2.62,,2,100,5.01,,,,
PHARMA | MANKIND.NS/SUNPHARMA.NS,25,80,1.73,,12,83.3,2.57,,5,100,3.6,,1,100,4.46
PHARMA | MANKIND.NS/TORNTPHARM.NS,22,77.3,1.19,,14,78.6,1.08,,3,0,-4,,1,0,-4
PHARMA | MANKIND.NS/WOCKPHARMA.NS,26,53.8,0.86,,18,50,0.11,,6,16.7,-2.46,,4,25,-1.83
PHARMA | MANKIND.NS/ZYDUSLIFE.NS,27,74.1,1.13,,13,84.6,2,,4,75,1.08,,1,100,4.75
PHARMA | PPLPHARMA.NS/SUNPHARMA.NS,28,53.6,0,,17,52.9,0.28,,7,42.9,-0.23,,2,50,-0.19
PHARMA | PPLPHARMA.NS/TORNTPHARM.NS,32,62.5,1.04,,20,75,2.61,,5,40,0.11,,2,50,-1.68
PHARMA | PPLPHARMA.NS/WOCKPHARMA.NS,35,57.1,0.88,,21,52.4,0.12,,11,27.3,-1.56,,3,0,-4
PHARMA | PPLPHARMA.NS/ZYDUSLIFE.NS,30,46.7,-0.74,,15,40,-1.26,,6,16.7,-2.05,,2,0,-4
PHARMA | SUNPHARMA.NS/TORNTPHARM.NS,83,72.3,0.92,,39,69.2,0.79,,13,61.5,0.51,,6,83.3,1.56
